Product,GroupNumber,GroupName,ControlID,Requirement,Criticality,Prerequisites
calendar,1,External Sharing Options,GWS.CALENDAR.1.1v1,"External sharing options for primary calendars SHALL be configured to ""Only free/busy information (hide event details).""",SHALL,policy/calendar_primary_calendar_max_allowed_external_sharing.maxAllowedExternalSharing; policy/calendar_service_status.serviceState
calendar,1,External Sharing Options,GWS.CALENDAR.1.2v1,"External sharing options for secondary calendars SHALL be configured to ""Only free/busy information (hide event details).""",SHALL,policy/calendar_secondary_calendar_max_allowed_external_sharing.maxAllowedExternalSharing; policy/calendar_service_status.serviceState
calendar,2,External Invitations Warnings,GWS.CALENDAR.2.1v1,External invitations warnings SHALL be enabled to prompt users before sending invitations.,SHALL,policy/calendar_external_invitations.warnOnInvite; policy/calendar_service_status.serviceState
chat,1,Chat History,GWS.CHAT.1.1v1,Chat history SHALL be enabled for information traceability.,SHALL,policy/chat_chat_history.historyOnByDefault; policy/chat_service_status.serviceState
chat,1,Chat History,GWS.CHAT.1.2v1,Users SHALL NOT be allowed to change their history setting.,SHALL,policy/chat_chat_history.allowUserModification; policy/chat_service_status.serviceState
chat,2,External File Sharing,GWS.CHAT.2.1v1,External file sharing SHALL be disabled to protect sensitive information from unauthorized or accidental sharing.,SHALL,policy/chat_chat_file_sharing.externalFileSharing; policy/chat_service_status.serviceState
chat,4,External Chat Messaging,GWS.CHAT.4.1v1,External chat messaging SHALL be restricted to allowlisted domains only.,SHALL,policy/chat_external_chat_restriction.allowExternalChat; policy/chat_external_chat_restriction.externalChatRestriction; policy/chat_service_status.serviceState
commoncontrols,1,Phishing-Resistant Multifactor Authentication,GWS.COMMONCONTROLS.1.1v1,Phishing-Resistant MFA SHALL be required for all users.,SHALL,policy/security_two_step_verification_enforcement.enforcedFrom; policy/security_two_step_verification_enforcement_factor.allowedSignInFactorSet; policy/security_two_step_verification_enrollment.allowEnrollment
commoncontrols,1,Phishing-Resistant Multifactor Authentication,GWS.COMMONCONTROLS.1.2v1,"If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users.",SHALL,policy/security_two_step_verification_enforcement.enforcedFrom; policy/security_two_step_verification_enrollment.allowEnrollment
commoncontrols,1,Phishing-Resistant Multifactor Authentication,GWS.COMMONCONTROLS.1.3v1,SMS or Voice SHALL NOT be used as the MFA method.,SHALL,policy/security_two_step_verification_enforcement.enforcedFrom; policy/security_two_step_verification_enforcement_factor.allowedSignInFactorSet; policy/security_two_step_verification_enrollment.allowEnrollment
commoncontrols,1,Phishing-Resistant Multifactor Authentication,GWS.COMMONCONTROLS.1.4v1,The Google 2-Step Verification (2SV) new user enrollment period SHALL be set to at least one day and at most one week.,SHALL,policy/security_two_step_verification_grace_period.enrollmentGracePeriod
commoncontrols,1,Phishing-Resistant Multifactor Authentication,GWS.COMMONCONTROLS.1.5v1,Allow users to trust the device SHALL be disabled.,SHALL,policy/security_two_step_verification_device_trust.allowTrustingDevice
commoncontrols,10,App Access to Google APIs,GWS.COMMONCONTROLS.10.1v1,Agencies SHALL use GWS application access control policies to restrict access to all GWS services by third-party applications.,SHALL,policy/api_controls_google_services.services
commoncontrols,10,App Access to Google APIs,GWS.COMMONCONTROLS.10.2v1,Agencies SHALL NOT allow users to grant consent for access to low-risk scopes.,SHALL,policy/api_controls_google_services.services
commoncontrols,10,App Access to Google APIs,GWS.COMMONCONTROLS.10.3v1,Agencies SHALL NOT trust unconfigured internal applications.,SHALL,policy/api_controls_internal_apps.trustInternalApps
commoncontrols,10,App Access to Google APIs,GWS.COMMONCONTROLS.10.4v1,Agencies SHALL NOT allow users to access unconfigured third-party applications.,SHALL,policy/api_controls_unconfigured_third_party_apps.accessLevel
commoncontrols,10,App Access to Google APIs,GWS.COMMONCONTROLS.10.5v1,Access to GWS applications by less secure applications that do not meet security authentication standards SHALL be prevented.,SHALL,policy/security_less_secure_apps.allowLessSecureApps
