"Ecosystem","Directory","File","Dependency","Version","Kind","Group","Raw"
"github-actions","/","./.github/workflows/run_smoke_test.yml","./.github/actions/setup-dependencies-macos","","local-action-or-reusable-workflow","uses","uses: ./.github/actions/setup-dependencies-macos"
"github-actions","/","./.github/workflows/run_smoke_test.yml","./.github/actions/setup-dependencies-macos","","local-action-or-reusable-workflow","uses","uses: ./.github/actions/setup-dependencies-macos"
"github-actions","/","./.github/workflows/run_smoke_test.yml","./.github/actions/setup-dependencies-windows","","local-action-or-reusable-workflow","uses","uses: ./.github/actions/setup-dependencies-windows"
"github-actions","/","./.github/workflows/run_pipeline.yml","./.github/workflows/pylint.yml","","local-action-or-reusable-workflow","uses","uses: ./.github/workflows/pylint.yml"
"github-actions","/","./.github/workflows/run_pipeline.yml","./.github/workflows/run_link_checker_for_md_edits.yml","","local-action-or-reusable-workflow","uses","uses: ./.github/workflows/run_link_checker_for_md_edits.yml"
"github-actions","/","./.github/workflows/run_pipeline.yml","./.github/workflows/run_opa_tests.yml","","local-action-or-reusable-workflow","uses","uses: ./.github/workflows/run_opa_tests.yml"
"github-actions","/","./.github/workflows/run_pipeline.yml","./.github/workflows/run_pytest_coverage.yml","","local-action-or-reusable-workflow","uses","uses: ./.github/workflows/run_pytest_coverage.yml"
"github-actions","/","./.github/workflows/run_smoke_test.yml","actions/cache","v5","github-action-or-reusable-workflow","uses","uses: actions/cache@v5"
"github-actions","/","./.github/workflows/run_smoke_test.yml","actions/cache","v5","github-action-or-reusable-workflow","uses","uses: actions/cache@v5"
"github-actions","/","./.github/workflows/run_smoke_test.yml","actions/cache","v5","github-action-or-reusable-workflow","uses","uses: actions/cache@v5"
"github-actions","/","./.github/workflows/run_smoke_test.yml","actions/cache/restore","v5","github-action-or-reusable-workflow","uses","uses: actions/cache/restore@v5"
"github-actions","/","./.github/workflows/get_opa_hash.yml","actions/checkout","v6","github-action-or-reusable-workflow","uses","uses: actions/checkout@v6"
"github-actions","/","./.github/workflows/run_opa_tests.yml","actions/checkout","v6","github-action-or-reusable-workflow","uses","uses: actions/checkout@v6"
"github-actions","/","./.github/workflows/run_release.yml","actions/checkout","v6","github-action-or-reusable-workflow","uses","uses: actions/checkout@v6"
"github-actions","/","./.github/workflows/run_smoke_test.yml","actions/checkout","v6","github-action-or-reusable-workflow","uses","uses: actions/checkout@v6"
"github-actions","/","./.github/workflows/run_update_opa.yml","actions/checkout","v6","github-action-or-reusable-workflow","uses","uses: actions/checkout@v6"
"github-actions","/","./.github/workflows/run_update_opa.yml","actions/checkout","v6","github-action-or-reusable-workflow","uses","uses: actions/checkout@v6"
"github-actions","/","./.github/workflows/publish_to_pypi.yml","actions/download-artifact","v4","github-action-or-reusable-workflow","uses","uses: actions/download-artifact@v4"
"github-actions","/","./.github/workflows/run_smoke_test.yml","actions/setup-node","v3","github-action-or-reusable-workflow","uses","uses: actions/setup-node@v3"
"github-actions","/","./.github/workflows/publish_to_pypi.yml","actions/setup-python","v6","github-action-or-reusable-workflow","uses","uses: actions/setup-python@v6"
"github-actions","/","./.github/workflows/pylint.yml","actions/setup-python","v6","github-action-or-reusable-workflow","uses","uses: actions/setup-python@v6"
